"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","preserves original values when not specified","test/src/features/event/admission/event_application_controller_test.dart","2026-04-01","passed","2026-04-01","","EventApplicationState.copyWith","",""
"","18","pushLogin calls router.push with login path","test/src/features/auth/logic/auth_coordinator_test.dart","2026-04-01","passed","2026-04-01","","AuthCoordinator","",""
"","6","returns 조건 없음 when no groups","test/src/data/models/event_test.dart","2026-04-01","passed","2026-04-01","","Event conditionSummaries","",""
"","60","/events/:id 라우트 → EventDetailPage 렌더링","test/integration/flow_event_browse_test.dart","2026-04-01","passed","2026-04-01","","이벤트 탐색 플로우 — 홈→상세→파트너","",""
"","2","creates with required status","test/src/features/event/admission/admission_button_config_test.dart","2026-04-01","passed","2026-04-01","","AdmissionState","",""
"","3","returns empty list when no closing soon events","test/src/data/repositories/event_repository_test.dart","2026-04-01","passed","2026-04-01","getClosingSoonEvents","EventRepository","",""
"","7","initialize does not throw when key is empty","test/logic/providers/statsig_provider_test.dart","2026-04-01","passed","2026-04-01","","StatsigAnalytics","",""
"","49","returns a valid TicketToken with correct fields","test/src/data/repositories/checkin_repository_test.dart","2026-04-01","passed","2026-04-01","mintTicket","CheckinRepository","",""
"","5","returns events with tickets when user is logged in","test/src/logic/providers/event_feed_provider_test.dart","2026-04-01","passed","2026-04-01","","eventFeedProvider — ticket filter regression (#778)","",""
"","27","이벤트 7일 이상 전이면 100% 환불 (cutoff 합격)","test/minglit_kit_test.dart","2026-04-01","passed","2026-04-01","","RefundCalculator","",""
"","109","applied → ""이미 신청한 이벤트"" (enabled)","test/integration/flow_admission_status_test.dart","2026-04-01","passed","2026-04-01","","AdmissionStatus 버튼 렌더링 (8가지 상태)","",""
"","67","returns list of active consents","test/src/data/repositories/consent_repository_test.dart","2026-04-01","passed","2026-04-01","getConsents","ConsentRepository","",""
"","24","returns same instance if already MinglitException","test/src/utils/exceptions_test.dart","2026-04-01","passed","2026-04-01","","MinglitException.from","",""
"","3","throws on error","test/src/data/repositories/event_repository_queries_test.dart","2026-04-01","passed","2026-04-01","getUpcomingEvents","EventRepository Queries","",""
"","15","throws when edge function fails","test/src/data/repositories/bug_report_repository_test.dart","2026-04-01","passed","2026-04-01","reportBug","BugReportRepository","",""
"","4","returns empty list when no verifications","test/src/data/repositories/user_repository_test.dart","2026-04-01","passed","2026-04-01","getApprovedVerificationIds","SupabaseUserRepository","",""
"","468","shows CHECK_IN_READY status text when start time has passed","test/src/features/home/widgets/event_now_bar_test.dart","2026-04-01","passed","2026-04-01","","EventNowBar","",""
